City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Fare,PF,77.4,clear sky,-16.7,-151.02,Maitai Lapita Village Huahine
280,Zhuanghe,CN,78.01,light rain,39.7,122.99,Hanting Express Dalian Zhuanghe Qiansheng
289,Vanimo,PG,77.04,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
292,Isangel,VU,79.48,few clouds,-19.55,169.27,Volcano Sea View Tree House
293,Cockburn Town,TC,84.24,overcast clouds,21.46,-71.14,Osprey Beach Hotel
296,Danville,US,84.99,few clouds,36.59,-79.39,Holiday Inn Express Danville
298,Moncton,CA,82.4,broken clouds,46.12,-64.8,Comfort Inn East
307,La Asuncion,VE,86.0,light rain,11.03,-63.86,Colinas de Matasiete
309,Lucea,JM,88.0,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
315,Kavaratti,IN,81.75,light rain,10.57,72.64,Bismillah Hotel And Lodging
322,Burriana,ES,80.01,scattered clouds,39.89,-0.09,Hotel Beatriz
326,Nara,JP,81.0,scattered clouds,34.69,135.8,Guesthouse Nara Komachi
329,Westport,US,84.99,clear sky,41.14,-73.36,The Westport Inn
331,Gopalganj,IN,82.81,clear sky,26.47,84.43,SPOT ON 62129 Hotel Shabnam SPOT
333,Pasighat,IN,76.57,broken clouds,28.07,95.33,Siang Guest House
336,Hamilton,US,88.0,light rain,39.18,-84.53,Six Acres Bed & Breakfast
338,Hobyo,SO,75.78,scattered clouds,5.35,48.53,Osmani Hotel
343,Daru,PG,75.54,overcast clouds,-9.08,143.21,New century hotel
344,Kosonsoy,UZ,75.2,clear sky,41.26,71.55,"Гостиница ""Goldstar'"
347,San Juan De Los Morros,VE,78.58,light rain,9.91,-67.35,Hotel La Montaña
350,Ugoofaaru,MV,83.25,light rain,5.67,73.0,Ungoofaaru Inn
352,Kudahuvadhoo,MV,83.08,light rain,2.67,72.89,Kudahuvadhoo Retreat
355,Brigantine,US,82.4,scattered clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
357,Jieshi,CN,81.79,overcast clouds,22.81,115.83,Yuehai Hotel
361,Aracati,BR,77.99,overcast clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
365,Shelburne,CA,89.6,few clouds,44.08,-80.2,The Retreat at the Farm
369,Kuching,MY,78.8,thunderstorm,1.55,110.33,Hilton Kuching
371,Rrogozhine,AL,75.2,few clouds,41.08,19.67,HOTEL - MOTEL B&B
372,Half Moon Bay,US,80.01,smoke,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
374,Muroto,JP,81.25,clear sky,33.28,134.15,Oota Ryokan
376,Talavera,PH,75.47,overcast clouds,15.62,120.93,R&G's Resort
377,Aliquippa,US,87.8,scattered clouds,40.64,-80.24,Forest Brook Mobile Home Park
381,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
387,Qurayyat,SA,82.4,clear sky,31.33,37.34,Mozon Furnished Aprtments
390,Harriston,CA,84.99,light rain,43.9,-80.88,John Neikle House B & B
394,Nagato,JP,78.8,few clouds,34.38,131.2,いそう庵
397,Suzuka,JP,77.0,few clouds,34.88,136.58,Hotel Marion
398,Ciudad Bolivar,VE,84.69,light rain,8.12,-63.55,Hotel Edi
401,Rurrenabaque,BO,80.65,clear sky,-14.44,-67.53,Casa de Campo
403,Ganzhou,CN,79.48,clear sky,28.82,115.43,Gold Jiao Hotel
405,Chardara,KZ,79.09,scattered clouds,41.25,67.97,Жанаргул
406,Mae Sai,TH,75.2,broken clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
409,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
410,Najran,SA,89.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
413,North Bend,US,82.0,few clouds,43.41,-124.22,Red Lion Hotel Coos Bay
415,Hambantota,LK,78.94,few clouds,6.12,81.12,Bungalow 63
417,Paka,MY,75.2,scattered clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
418,Ternate,ID,79.12,light rain,0.8,127.4,Grand Dafam Bela Ternate
419,Fez,MA,86.0,clear sky,34.04,-5.0,Hotel Mounia Fès
421,Bom Jardim,BR,78.8,few clouds,-7.8,-35.59,Pousada do Posto Jose Breno
422,Bonthe,SL,77.22,moderate rain,7.53,-12.51,Bonthe Holiday Village
423,Vaitape,PF,77.47,few clouds,-16.52,-151.75,Conrad Bora Bora Nui
425,Haapiti,PF,80.6,broken clouds,-17.57,-149.87,Linareva Moorea Beach Resort
428,Dingle,PH,76.1,broken clouds,11.0,122.67,Camp Pasica
429,Meulaboh,ID,76.96,overcast clouds,4.14,96.13,Kost Pria
432,Kijang,KR,75.2,scattered clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
433,Sabang,ID,83.52,scattered clouds,5.89,95.32,Hotel Citra
434,Tiarei,PF,80.6,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
437,Santa,PH,76.8,broken clouds,17.49,120.43,The Mansion
438,Nizwa,OM,85.62,overcast clouds,22.93,57.53,Orient Apartments
439,Majene,ID,75.56,clear sky,-3.54,118.97,Kost Putri RABBANI
443,Bandar-E Lengeh,IR,88.29,clear sky,26.56,54.88,کافی نت پارس
445,Santa Margherita Ligure,IT,75.99,clear sky,44.33,9.21,Hotel Portofino
446,Umm Lajj,SA,83.07,clear sky,25.02,37.27,Moon light Furnished Units
447,Safaga,EG,87.8,clear sky,26.73,33.94,Lamar Resort Abu Soma
453,Kirakira,SB,81.25,moderate rain,-10.45,161.92,SanBiz Lodge
454,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
456,San Policarpo,PH,79.21,clear sky,12.18,125.51,Zal-Ann Beach Resort
462,Chalmette,US,86.0,broken clouds,29.94,-89.96,Marina Motel Chalmette
463,Houma,US,84.2,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
464,Aflao,TG,75.2,few clouds,6.12,1.19,Hotel LeBenin
474,Missoula,US,87.01,clear sky,47.02,-113.8,Gold Creek Cabin
