City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,San Patricio,MX,19.22,-104.7,89.6,66,40,11.41,scattered clouds
186,Praia,CV,14.92,-23.51,82.4,69,75,6.93,broken clouds
187,Abu Kamal,SY,34.45,40.92,82.24,22,0,13.56,clear sky
188,Lavrentiya,RU,65.58,-171.0,47.21,93,100,4.99,overcast clouds
189,Canandaigua,US,42.87,-77.29,87.01,59,16,1.99,few clouds
190,Chapais,CA,49.78,-74.85,66.2,48,40,5.82,scattered clouds
191,Sao Miguel Do Araguaia,BR,-13.28,-50.16,89.62,28,59,6.96,broken clouds
192,Butaritari,KI,3.07,172.79,82.78,69,97,10.56,overcast clouds
193,Poltavka,RU,54.37,71.76,51.78,94,66,5.61,broken clouds
194,Flinders,AU,-34.58,150.86,48.99,63,0,8.99,clear sky
195,Dukat,RU,62.55,155.55,32.52,96,100,3.67,overcast clouds
196,Lompoc,US,34.64,-120.46,75.2,69,1,6.93,clear sky
197,Pskov,RU,57.81,28.35,62.6,82,100,2.24,overcast clouds
198,Bambous Virieux,MU,-20.34,57.76,71.6,73,40,18.34,scattered clouds
199,Jesup,US,31.61,-81.89,84.2,70,40,12.75,scattered clouds
200,Berbera,SO,10.44,45.01,91.69,42,35,18.14,scattered clouds
201,Lethem,GY,3.38,-59.8,83.8,71,52,3.51,moderate rain
202,Alekseyevsk,RU,57.84,108.35,50.23,84,24,3.96,few clouds
203,Nouadhibou,MR,20.93,-17.03,75.2,78,0,14.99,clear sky
204,Lerwick,GB,60.15,-1.15,50.0,81,95,13.87,overcast clouds
205,Kaeo,NZ,-35.1,173.78,57.0,3,72,11.01,light rain
206,Mocorito,MX,25.48,-107.92,100.0,51,57,5.99,broken clouds
207,Oussouye,SN,12.48,-16.55,79.52,84,99,5.77,overcast clouds
208,Luancheng,CN,37.88,114.65,73.4,88,75,8.95,broken clouds
209,Chupaca,PE,-12.07,-75.28,64.92,35,41,11.41,scattered clouds
210,Kodiak,US,57.79,-152.41,60.8,77,90,3.36,overcast clouds
211,Jalu,LY,29.03,21.55,79.92,53,0,18.68,clear sky
212,Itoman,JP,26.12,127.67,82.4,88,75,32.21,light intensity shower rain
213,Marawi,PH,8.0,124.29,75.0,91,73,4.0,broken clouds
